po_id,sku_id,supplier_id,po_date,promised_delivery_date,delivery_date,order_qty,unit_cost,shipping_mode,status,incoterm,currency,freight_cost,duty_cost
PO62858434,SKU4171552432,200991,2018-12-04,2018-12-25,2018-12-24,80,29.84,Air,delivered,FOB,USD,15.89,6.14
PO89788605,SKU4171552432,200991,2019-03-04,2019-03-25,2019-03-25,80,31.03,Air,delivered,DAP,USD,14.63,5.28
PO07402617,SKU4171552432,200991,2019-06-03,2019-06-24,2019-06-22,80,27.02,Air,delivered,DAP,USD,7.25,5.14
PO91898453,SKU4171552432,200991,2019-09-03,2019-09-24,2019-09-22,80,28.81,Air,delivered,FOB,USD,8.65,5.4
PO44825568,SKU4171552432,200991,2019-12-04,2019-12-25,2019-12-21,80,31.04,Air,delivered,FOB,USD,11.88,7.84
PO25689066,SKU4171552432,200991,2020-03-04,2020-03-25,2020-03-26,80,28.76,Air,delivered,CIF,USD,6.62,9.82
PO86719284,SKU4171552432,200991,2020-06-03,2020-06-24,2020-06-25,80,26.03,Air,delivered,CIF,USD,12.45,9.21
PO30730897,SKU4171552432,200991,2020-09-03,2020-09-24,2020-09-26,80,31.04,Air,delivered,EXW,USD,19.52,10.54
PO40585503,SKU4171552432,200991,2020-12-04,2020-12-25,2020-12-25,80,27.62,Air,delivered,FOB,USD,5.62,9.82
PO07027044,SKU4171552432,200991,2021-03-04,2021-03-25,2021-03-29,80,29.49,Air,delivered,CIF,USD,11.0,8.35
PO53833302,SKU4171552432,200991,2021-06-03,2021-06-24,2021-06-23,80,32.52,Air,delivered,FOB,USD,12.46,3.81
PO65926787,SKU4171552432,200991,2021-09-03,2021-09-24,2021-09-25,80,28.76,Air,delivered,DAP,USD,19.46,8.26
PO46928441,SKU4171552432,200991,2021-12-04,2021-12-25,2021-12-22,80,26.24,Air,delivered,CIF,USD,5.65,2.94
PO93467650,SKU4171552432,200991,2022-03-04,2022-03-25,2022-03-25,80,26.52,Air,delivered,DAP,USD,17.15,5.13
PO27632351,SKU4171552432,200991,2022-06-03,2022-06-24,2022-06-25,80,25.15,Air,delivered,DAP,USD,10.56,10.65
PO86073234,SKU4171552432,200991,2022-09-03,2022-09-24,2022-09-23,80,27.24,Air,delivered,DAP,USD,18.68,7.51
PO58901075,SKU0908706868,200914,2019-05-05,2019-05-19,2019-05-27,83,14.82,Rail,delivered,EXW,CNY,18.57,9.11
PO57552500,SKU0908706868,200914,2019-06-10,2019-06-24,2019-06-25,118,15.28,Rail,delivered,DAP,CNY,16.82,4.62
PO63375542,SKU0908706868,200914,2019-09-10,2019-09-24,2019-09-19,160,16.91,Rail,delivered,EXW,CNY,11.89,19.91
PO35580608,SKU0908706868,200914,2019-12-11,2019-12-25,2019-12-24,179,17.13,Rail,delivered,FOB,CNY,8.97,18.82
PO97426076,SKU0908706868,200914,2020-03-11,2020-03-25,2020-03-19,164,14.66,Rail,delivered,FOB,CNY,8.84,20.38
PO34097303,SKU0908706868,200914,2020-06-10,2020-06-24,2020-06-24,187,15.89,Rail,delivered,CIF,CNY,26.6,13.35
PO59803311,SKU0908706868,200914,2020-09-10,2020-09-24,2020-09-26,296,14.13,Rail,delivered,CIF,CNY,71.13,11.7
PO98755513,SKU0908706868,200914,2020-12-11,2020-12-25,2020-12-23,212,15.9,Rail,delivered,EXW,CNY,40.56,15.45
PO15770078,SKU0908706868,200914,2021-03-11,2021-03-25,2021-03-19,180,17.13,Rail,delivered,FOB,CNY,13.69,5.3
PO77352260,SKU0908706868,200914,2021-06-10,2021-06-24,2021-06-23,157,15.09,Rail,delivered,CIF,CNY,18.39,12.29
PO46540465,SKU0908706868,200914,2021-09-10,2021-09-24,2021-09-17,288,14.44,Rail,delivered,CIF,CNY,62.3,34.03
PO15623517,SKU0908706868,200914,2021-12-11,2021-12-25,2021-12-29,156,14.25,Rail,delivered,CIF,CNY,10.8,17.48
PO82946159,SKU0908706868,200914,2022-03-11,2022-03-25,2022-03-27,209,15.31,Rail,delivered,FOB,CNY,41.55,16.57
PO54890713,SKU0908706868,200914,2022-06-10,2022-06-24,2022-06-15,196,16.03,Rail,delivered,CIF,CNY,18.19,10.86
PO09531329,SKU0908706868,200914,2022-09-10,2022-09-24,2022-09-21,241,16.88,Rail,delivered,FOB,CNY,24.21,15.81
PO13602163,SKU4352719472,200914,2016-12-06,2016-12-20,2016-12-24,80,34.08,Rail,delivered,DAP,CNY,7.33,9.43
PO24715932,SKU4352719472,200914,2016-12-11,2016-12-25,2016-12-20,98,27.59,Rail,delivered,DAP,CNY,8.57,5.96
PO10497653,SKU4352719472,200914,2017-03-11,2017-03-25,2017-03-24,93,26.88,Rail,delivered,DAP,CNY,8.59,5.47
PO88785253,SKU4352719472,200914,2017-06-10,2017-06-24,2017-06-20,91,29.95,Rail,delivered,EXW,CNY,10.87,4.68
PO55319715,SKU4352719472,200914,2017-09-10,2017-09-24,2017-09-27,80,33.04,Rail,delivered,FOB,CNY,14.12,2.18
PO70990643,SKU4352719472,200914,2017-12-11,2017-12-25,2017-12-24,80,29.55,Rail,delivered,CIF,CNY,17.79,10.35
PO29790575,SKU4352719472,200914,2018-03-11,2018-03-25,2018-03-23,80,28.84,Rail,delivered,EXW,CNY,10.4,11.34
PO62288414,SKU4352719472,200914,2018-06-10,2018-06-24,2018-06-27,87,26.14,Rail,delivered,EXW,CNY,10.37,5.11
PO52727122,SKU4352719472,200914,2018-09-10,2018-09-24,2018-09-24,80,32.5,Rail,delivered,DAP,CNY,8.14,11.41
PO30077158,SKU4352719472,200914,2018-12-11,2018-12-25,2018-12-22,107,30.68,Rail,delivered,FOB,CNY,22.2,5.5
PO51587862,SKU4352719472,200914,2019-03-11,2019-03-25,2019-03-20,80,30.56,Rail,delivered,CIF,CNY,11.46,9.33
PO71094421,SKU4352719472,200914,2019-06-10,2019-06-24,2019-06-23,80,31.81,Rail,delivered,EXW,CNY,9.12,7.97
PO51605780,SKU4352719472,200914,2019-09-10,2019-09-24,2019-09-21,116,27.0,Rail,delivered,CIF,CNY,8.36,10.31
PO43767024,SKU4352719472,200914,2019-12-11,2019-12-25,2019-12-24,80,28.49,Rail,delivered,DAP,CNY,11.01,11.05
PO45419472,SKU4352719472,200914,2020-03-11,2020-03-25,2020-03-24,86,27.05,Rail,delivered,FOB,CNY,4.92,7.23
PO53329698,SKU4352719472,200914,2020-06-10,2020-06-24,2020-06-25,80,29.42,Rail,delivered,CIF,CNY,11.1,11.59
PO25908375,SKU4352719472,200914,2020-09-10,2020-09-24,2020-09-26,93,27.12,Rail,delivered,CIF,CNY,6.6,9.47
PO48654072,SKU4352719472,200914,2020-12-11,2020-12-25,2020-12-20,80,29.1,Rail,delivered,EXW,CNY,14.39,6.45
PO56292206,SKU4352719472,200914,2021-03-11,2021-03-25,2021-03-19,98,30.01,Rail,delivered,CIF,CNY,11.03,8.92
PO51335907,SKU4352719472,200914,2021-06-10,2021-06-24,2021-06-22,80,26.44,Rail,delivered,FOB,CNY,15.81,2.31
PO86392303,SKU4352719472,200914,2021-09-10,2021-09-24,2021-09-28,105,32.64,Rail,delivered,FOB,CNY,20.3,12.38
PO33713552,SKU4352719472,200914,2021-12-11,2021-12-25,2021-12-20,96,34.04,Rail,delivered,CIF,CNY,18.33,5.62
PO43717419,SKU4352719472,200914,2022-03-11,2022-03-25,2022-03-21,80,28.21,Rail,delivered,EXW,CNY,11.41,9.05
PO35768011,SKU4352719472,200914,2022-06-10,2022-06-24,2022-06-26,80,30.38,Rail,delivered,EXW,CNY,7.55,6.78
PO38747070,SKU4352719472,200914,2022-09-10,2022-09-24,2022-09-28,80,29.38,Rail,delivered,DAP,CNY,19.79,9.53
PO28206167,SKU2767416311,200601,2021-10-09,2021-10-30,2021-10-28,80,54.97,Sea,delivered,FOB,USD,10.9,4.83
PO12051610,SKU2767416311,200601,2021-10-09,2021-10-30,2021-10-26,80,60.22,Sea,delivered,DAP,USD,12.39,2.24
PO53154425,SKU2767416311,200601,2021-12-04,2021-12-25,2021-12-30,80,47.14,Sea,delivered,EXW,USD,12.14,10.55
PO18383125,SKU2767416311,200601,2022-03-04,2022-03-25,2022-03-26,80,50.24,Sea,delivered,DAP,USD,12.53,9.7
PO71408483,SKU2767416311,200601,2022-06-03,2022-06-24,2022-06-23,80,54.46,Sea,delivered,EXW,USD,14.48,8.11
PO56667254,SKU2767416311,200601,2022-09-03,2022-09-24,2022-09-22,80,47.4,Sea,delivered,DAP,USD,11.76,6.08
PO14644973,SKU1691039685,200439,2019-03-12,2019-04-02,2019-03-31,135,11.95,Sea,delivered,DAP,USD,28.34,6.61
PO37259823,SKU1691039685,200439,2019-03-04,2019-03-25,2019-03-28,321,11.76,Sea,delivered,FOB,USD,51.37,28.21
PO03955633,SKU1691039685,200439,2019-06-03,2019-06-24,2019-06-26,559,14.91,Sea,delivered,FOB,USD,135.1,55.73
PO64991957,SKU1691039685,200439,2019-09-03,2019-09-24,2019-09-24,553,13.25,Sea,delivered,DAP,USD,52.04,21.54
PO53478492,SKU1691039685,200439,2019-12-04,2019-12-25,2019-12-24,489,12.32,Sea,delivered,EXW,USD,62.8,22.56
PO69259540,SKU1691039685,200439,2020-03-04,2020-03-25,2020-03-25,458,11.35,Sea,delivered,EXW,USD,87.66,10.59
PO70505786,SKU1691039685,200439,2020-06-03,2020-06-24,2020-06-26,303,15.05,Sea,delivered,FOB,USD,64.57,40.61
PO01681228,SKU1691039685,200439,2020-09-03,2020-09-24,2020-09-25,330,12.09,Sea,delivered,FOB,USD,28.89,35.37
PO90781934,SKU1691039685,200439,2020-12-04,2020-12-25,2020-12-23,80,13.53,Sea,delivered,CIF,USD,10.51,11.91
PO82981704,SKU1691039685,200439,2021-03-04,2021-03-25,2021-03-23,80,14.19,Sea,delivered,FOB,USD,19.97,6.91
PO87406997,SKU1691039685,200439,2021-06-03,2021-06-24,2021-06-26,80,11.65,Sea,delivered,EXW,USD,8.23,3.3
PO37022681,SKU1691039685,200439,2021-09-03,2021-09-24,2021-09-22,80,11.79,Sea,delivered,FOB,USD,12.35,4.33
PO57506801,SKU1691039685,200439,2021-12-04,2021-12-25,2021-12-25,80,14.5,Sea,delivered,CIF,USD,17.47,5.99
PO88414126,SKU1691039685,200439,2022-03-04,2022-03-25,2022-03-28,80,12.57,Sea,delivered,DAP,USD,19.36,3.63
PO58713366,SKU1691039685,200439,2022-06-03,2022-06-24,2022-06-23,80,13.33,Sea,delivered,DAP,USD,15.78,7.27
PO41912533,SKU1691039685,200439,2022-09-03,2022-09-24,2022-09-28,80,13.13,Sea,delivered,EXW,USD,18.85,10.18
PO68312592,SKU3856506982,200924,2022-03-30,2022-04-09,2022-04-10,80,29.11,Sea,delivered,CIF,JPY,12.68,3.95
PO86510038,SKU3856506982,200924,2022-03-15,2022-03-25,2022-03-27,126,27.88,Sea,delivered,DAP,JPY,8.01,13.99
PO30416449,SKU3856506982,200924,2022-06-14,2022-06-24,2022-06-22,211,26.42,Sea,delivered,DAP,JPY,23.35,28.83
PO90291276,SKU3856506982,200924,2022-09-14,2022-09-24,2022-09-22,247,32.28,Sea,delivered,FOB,JPY,38.74,21.89
PO34262632,SKU7213167310,200914,2016-10-25,2016-11-08,2016-11-03,80,3.17,Rail,delivered,DAP,CNY,16.09,2.99
PO10471216,SKU7213167310,200914,2016-10-25,2016-11-08,2016-11-10,369,2.9,Rail,delivered,EXW,CNY,36.04,28.01
PO00516827,SKU7213167310,200914,2016-12-11,2016-12-25,2016-12-24,266,3.27,Rail,delivered,DAP,CNY,40.78,34.33
PO68686470,SKU7213167310,200914,2017-03-11,2017-03-25,2017-03-25,415,3.31,Rail,delivered,EXW,CNY,86.67,58.56
PO26136268,SKU7213167310,200914,2017-06-10,2017-06-24,2017-06-24,540,3.43,Rail,delivered,EXW,CNY,118.56,74.47
PO81584523,SKU7213167310,200914,2017-09-10,2017-09-24,2017-09-21,589,2.89,Rail,delivered,FOB,CNY,126.4,54.77
PO15555334,SKU7213167310,200914,2017-12-11,2017-12-25,2017-12-26,510,2.89,Rail,delivered,CIF,CNY,97.95,22.48
PO52250635,SKU7213167310,200914,2018-03-11,2018-03-25,2018-03-21,594,2.89,Rail,delivered,EXW,CNY,105.89,52.37
PO60682470,SKU7213167310,200914,2018-06-10,2018-06-24,2018-06-20,568,3.24,Rail,delivered,DAP,CNY,91.29,70.21
PO92962358,SKU7213167310,200914,2018-09-10,2018-09-24,2018-09-22,683,3.29,Rail,delivered,DAP,CNY,40.01,79.2
PO26459135,SKU7213167310,200914,2018-12-11,2018-12-25,2018-12-30,527,3.33,Rail,delivered,EXW,CNY,128.28,78.96
PO68059087,SKU7213167310,200914,2019-03-11,2019-03-25,2019-03-28,516,2.95,Rail,delivered,DAP,CNY,123.01,61.07
PO01007119,SKU7213167310,200914,2019-06-10,2019-06-24,2019-06-21,560,3.23,Rail,delivered,FOB,CNY,79.68,45.09
PO56283977,SKU7213167310,200914,2019-09-10,2019-09-24,2019-09-27,564,3.23,Rail,delivered,DAP,CNY,137.54,44.37
PO41138904,SKU7213167310,200914,2019-12-11,2019-12-25,2019-12-24,626,3.22,Rail,delivered,FOB,CNY,115.01,28.15
PO84137299,SKU7213167310,200914,2020-03-11,2020-03-25,2020-03-26,574,2.88,Rail,delivered,EXW,CNY,37.36,18.42
PO99728536,SKU7213167310,200914,2020-06-10,2020-06-24,2020-06-21,666,2.81,Rail,delivered,EXW,CNY,160.99,58.9
PO44894557,SKU7213167310,200914,2020-09-10,2020-09-24,2020-09-19,628,3.25,Rail,delivered,EXW,CNY,134.09,27.69
PO23397536,SKU7213167310,200914,2020-12-11,2020-12-25,2020-12-24,540,2.88,Rail,delivered,FOB,CNY,42.49,41.15
PO95683597,SKU7213167310,200914,2021-03-11,2021-03-25,2021-03-28,449,3.33,Rail,delivered,DAP,CNY,108.43,12.61
PO10927863,SKU7213167310,200914,2021-06-10,2021-06-24,2021-06-20,598,3.05,Rail,delivered,FOB,CNY,131.78,79.3
PO52958051,SKU7213167310,200914,2021-09-10,2021-09-24,2021-09-21,636,3.14,Rail,delivered,DAP,CNY,61.49,65.68
PO05097153,SKU7213167310,200914,2021-12-11,2021-12-25,2021-12-24,489,2.87,Rail,delivered,DAP,CNY,32.2,34.02
PO91537860,SKU7213167310,200914,2022-03-11,2022-03-25,2022-03-30,568,2.82,Rail,delivered,FOB,CNY,77.07,27.95
PO09826748,SKU7213167310,200914,2022-06-10,2022-06-24,2022-06-25,500,2.8,Rail,delivered,CIF,CNY,90.87,63.57
PO66876803,SKU7213167310,200914,2022-09-10,2022-09-24,2022-09-25,651,3.49,Rail,delivered,EXW,CNY,127.32,35.76
PO43053331,SKU2382683178,200914,2015-12-11,2015-12-25,2015-12-27,80,28.8,Rail,delivered,DAP,CNY,4.12,9.97
PO88660753,SKU2382683178,200914,2016-03-11,2016-03-25,2016-03-23,80,32.23,Rail,delivered,DAP,CNY,9.43,3.61
PO23691689,SKU2382683178,200914,2016-06-10,2016-06-24,2016-06-22,80,32.01,Rail,delivered,FOB,CNY,11.52,6.92
PO15694336,SKU2382683178,200914,2016-09-10,2016-09-24,2016-09-20,80,32.63,Rail,delivered,CIF,CNY,11.37,2.53
PO79946083,SKU2382683178,200914,2016-12-11,2016-12-25,2016-12-31,80,29.73,Rail,delivered,EXW,CNY,12.05,9.77
PO09481287,SKU2382683178,200914,2017-03-11,2017-03-25,2017-03-25,80,35.51,Rail,delivered,CIF,CNY,4.51,9.42
PO81205507,SKU2382683178,200914,2017-06-10,2017-06-24,2017-06-24,80,34.01,Rail,delivered,EXW,CNY,10.55,10.33
PO67453983,SKU2382683178,200914,2017-09-10,2017-09-24,2017-09-22,80,31.0,Rail,delivered,DAP,CNY,12.98,3.33
PO08800461,SKU2382683178,200914,2017-12-11,2017-12-25,2017-12-25,80,31.15,Rail,delivered,DAP,CNY,19.29,1.63
PO62625498,SKU2382683178,200914,2018-03-11,2018-03-25,2018-03-23,80,29.56,Rail,delivered,FOB,CNY,17.34,8.44
PO67415527,SKU2382683178,200914,2018-06-10,2018-06-24,2018-06-23,80,35.8,Rail,delivered,FOB,CNY,11.25,6.55
PO11944193,SKU2382683178,200914,2018-09-10,2018-09-24,2018-09-23,80,35.76,Rail,delivered,CIF,CNY,6.89,8.36
PO35520934,SKU2382683178,200914,2018-12-11,2018-12-25,2018-12-21,80,33.81,Rail,delivered,CIF,CNY,13.82,1.67
PO84953318,SKU2382683178,200914,2019-03-11,2019-03-25,2019-03-21,80,30.96,Rail,delivered,EXW,CNY,11.01,7.72
PO39909679,SKU2382683178,200914,2019-06-10,2019-06-24,2019-06-23,80,31.11,Rail,delivered,FOB,CNY,4.57,1.93
PO50402168,SKU2382683178,200914,2019-09-10,2019-09-24,2019-09-28,80,34.12,Rail,delivered,DAP,CNY,7.1,4.37
PO48739919,SKU2382683178,200914,2019-12-11,2019-12-25,2019-12-24,80,32.74,Rail,delivered,FOB,CNY,6.67,11.01
PO55146261,SKU2382683178,200914,2020-03-11,2020-03-25,2020-03-26,80,35.56,Rail,delivered,CIF,CNY,9.16,4.71
PO78651683,SKU2382683178,200914,2020-06-10,2020-06-24,2020-06-22,80,30.92,Rail,delivered,FOB,CNY,4.48,4.09
PO80256015,SKU2382683178,200914,2020-09-10,2020-09-24,2020-09-20,80,33.98,Rail,delivered,DAP,CNY,13.97,9.62
PO19741272,SKU2382683178,200914,2020-12-11,2020-12-25,2020-12-25,80,29.66,Rail,delivered,FOB,CNY,18.66,4.82
PO55649105,SKU2382683178,200914,2021-03-11,2021-03-25,2021-03-29,80,31.24,Rail,delivered,CIF,CNY,11.52,1.82
PO56724821,SKU2382683178,200914,2021-06-10,2021-06-24,2021-06-21,80,30.34,Rail,delivered,DAP,CNY,13.06,4.29
PO25084977,SKU2382683178,200914,2021-09-10,2021-09-24,2021-09-28,80,35.37,Rail,delivered,EXW,CNY,18.47,4.55
PO55559458,SKU2382683178,200914,2021-12-11,2021-12-25,2021-12-19,80,31.07,Rail,delivered,EXW,CNY,14.15,11.14
PO66945136,SKU2382683178,200914,2022-03-11,2022-03-25,2022-03-29,80,33.08,Rail,delivered,DAP,CNY,6.38,2.07
PO74166439,SKU2382683178,200914,2022-06-10,2022-06-24,2022-06-24,80,34.73,Rail,delivered,DAP,CNY,14.35,4.74
